setting,policy,metric,mean,std,seeds
noisy,dr,decision_accuracy,0.8306000000000001,0.009717252698165244,5
noisy,dr,cost_per_success,0.10025459073977772,0.005782772314236573,5
noisy,dr,unsafe_rate,0.0081,0.0028151376520518493,5
noisy,dr,mean_latency_ms,19.138600000000004,1.248682826021084,5
noisy,dr,mean_excess_access,0.0328,0.00864291617453276,5
noisy,dr,ess,227.57836639292253,10.201096940309688,5
noisy,dr,dr_absolute_error,0.011810715893110035,0.0061794628116713735,5
noisy,conservative_direct,utility,0.34089099999999994,0.01556386977907486,5
noisy,conservative_direct,coverage,0.43899999999999995,0.016174826119621826,5
noisy,conservative_direct,success_all_tasks,0.378,0.014991664350564964,5
noisy,conservative_direct,success_on_executed,0.8612475563146715,0.02511313387679038,5
noisy,conservative_direct,decision_accuracy,0.7031,0.019727518850580283,5
noisy,conservative_direct,cost_per_success,0.06525005267962468,0.007714240862866511,5
noisy,conservative_direct,unsafe_rate,0.0062,0.00204939015319192,5
noisy,conservative_direct,mean_latency_ms,8.305,1.1182665156392726,5
noisy,conservative_direct,mean_excess_access,0.0,0.0,5
noisy,conservative_direct,ess,263.02020473224303,6.3572696514881795,5
noisy,conservative_direct,dr_absolute_error,0.013854320340903415,0.0031067805502023975,5
noisy,conservative_dr,utility,0.33593649999999997,0.021202950605399232,5
noisy,conservative_dr,coverage,0.4311999999999999,0.044839435768082546,5
noisy,conservative_dr,success_all_tasks,0.376,0.025097310612892366,5
noisy,conservative_dr,success_on_executed,0.8750467757007814,0.037742717542121676,5
noisy,conservative_dr,decision_accuracy,0.7060000000000001,0.010839741694339398,5
noisy,conservative_dr,cost_per_success,0.05918081012827644,0.013212569284608488,5
noisy,conservative_dr,unsafe_rate,0.0088,0.0025641762809916167,5
noisy,conservative_dr,mean_latency_ms,7.5729,1.9548799643456372,5
noisy,conservative_dr,mean_excess_access,0.0,0.0,5
noisy,conservative_dr,ess,266.60945630098394,9.212506664505723,5
noisy,conservative_dr,dr_absolute_error,0.00906448313325341,0.00501449480032941,5
noisy,oracle,utility,0.5790629999999999,0.012949263178845333,5
noisy,oracle,coverage,0.6103,0.013558207846171993,5
noisy,oracle,success_all_tasks,0.6103,0.013558207846171993,5
noisy,oracle,success_on_executed,1.0,0.0,5
noisy,oracle,decision_accuracy,0.9785,0.0029154759474226384,5
noisy,oracle,cost_per_success,0.050988771222492804,0.0008936049687418606,5
noisy,oracle,unsafe_rate,0.0,0.0,5
noisy,oracle,mean_latency_ms,9.7881,0.24007587342338282,5
noisy,oracle,mean_excess_access,0.0024000000000000002,0.0018165902124584951,5
small_data,abstain,utility,0.0,0.0,5
small_data,abstain,coverage,0.0,0.0,5
small_data,abstain,success_all_tasks,0.0,0.0,5
small_data,abstain,decision_accuracy,0.36819999999999997,0.012799414049088352,5
small_data,abstain,unsafe_rate,0.0,0.0,5
small_data,abstain,mean_latency_ms,0.0,0.0,5
small_data,abstain,mean_excess_access,0.0,0.0,5
small_data,abstain,ess,177.8405244415983,9.960343579097433,5
small_data,abstain,dr_absolute_error,0.0,0.0,5
small_data,cheapest,utility,-0.06081650000000001,0.013390093422937724,5
small_data,cheapest,coverage,0.8131,0.013644595999882143,5
small_data,cheapest,success_all_tasks,0.3066,0.008134801780006697,5
small_data,cheapest,success_on_executed,0.3770465099072798,0.005805557157647841,5
small_data,cheapest,decision_accuracy,0.49349999999999994,0.008038967595406772,5
small_data,cheapest,cost_per_success,0.043772501292541274,0.0007515536147936152,5
small_data,cheapest,unsafe_rate,0.177,0.004213074886588183,5
small_data,cheapest,mean_latency_ms,5.8024000000000004,0.10190951869182774,5
small_data,cheapest,mean_excess_access,0.0,0.0,5
small_data,cheapest,ess,1634.303366284183,22.079799531605534,5
small_data,cheapest,dr_absolute_error,0.004994573367342646,0.0037199349829009076,5
small_data,schema_match,utility,0.45618800000000004,0.011545777150109916,5
small_data,schema_match,coverage,0.8131,0.013644595999882143,5
small_data,schema_match,success_all_tasks,0.5593,0.01315579720123413,5
small_data,schema_match,success_on_executed,0.6878048587480039,0.005581988714204404,5
small_data,schema_match,decision_accuracy,0.7462000000000001,0.0031144823004794703,5
small_data,schema_match,cost_per_success,0.1843861668548311,0.001503907180619474,5
small_data,schema_match,unsafe_rate,0.0,0.0,5
small_data,schema_match,mean_latency_ms,33.2365,0.44004119125372865,5
small_data,schema_match,mean_excess_access,0.0,0.0,5
small_data,schema_match,ess,181.3477738446258,9.851126503454573,5
small_data,schema_match,dr_absolute_error,0.03070512695797877,0.021872710907374214,5
small_data,rules,utility,0.496954,0.01082185514364337,5
small_data,rules,coverage,0.5938,0.011919521802488548,5
small_data,rules,success_all_tasks,0.5467000000000001,0.012442869443982778,5
small_data,rules,success_on_executed,0.9206455902179691,0.004233955867536442,5
small_data,rules,decision_accuracy,0.8983000000000001,0.007989055012953678,5
small_data,rules,cost_per_success,0.05917628034704424,0.001400202209325967,5
small_data,rules,unsafe_rate,0.008700000000000001,0.0018234582528810469,5
small_data,rules,mean_latency_ms,10.965499999999999,0.2761052788339982,5
small_data,rules,mean_excess_access,0.0,0.0,5
small_data,rules,ess,271.1777100552072,4.632726287653414,5
small_data,rules,dr_absolute_error,0.008213297221440707,0.0042599088305717864,5
small_data,direct,utility,0.46158099999999996,0.03491498427430551,5
small_data,direct,coverage,0.6636,0.03748566392635988,5
small_data,direct,success_all_tasks,0.5226,0.02846137733842128,5
small_data,direct,success_on_executed,0.7877811407264209,0.01767470644034995,5
small_data,direct,decision_accuracy,0.8139000000000001,0.012626361312745653,5
small_data,direct,cost_per_success,0.07002649536320252,0.002192521948684351,5
small_data,direct,unsafe_rate,0.012199999999999999,0.006210877554742164,5
small_data,direct,mean_latency_ms,12.440900000000001,0.8517643746952557,5
small_data,direct,mean_excess_access,0.0,0.0,5
small_data,direct,ess,276.6520071333963,6.886692575831067,5
small_data,direct,dr_absolute_error,0.014447252258171405,0.008736935396664744,5
small_data,ips,utility,0.38173200000000007,0.05318471589070492,5
small_data,ips,coverage,0.6388999999999999,0.015570003211303446,5
small_data,ips,success_all_tasks,0.48650000000000004,0.021467999441028486,5
small_data,ips,success_on_executed,0.7611883850635719,0.01678573143180172,5
small_data,ips,decision_accuracy,0.7632000000000001,0.025353993768240924,5
small_data,ips,cost_per_success,0.1008627025731363,0.00704685859306352,5
small_data,ips,unsafe_rate,0.0257,0.017304623659588788,5
small_data,ips,mean_latency_ms,16.0347,1.6884058531644572,5
